footnote_number,generated_context,footnote_text,label
79,"there was a threshold in political reporting: newspapers naturally focused on recognisable political persons. Moreover, they justified their editorial choices by constantly re-emphasising the importance of the figures they wrote about. In this context, a central theme in the Cape-to-Cairo reporting was the ‘greatness’ of Rhodes, and newspapers across Europe used superlatives to describe his leadership qualities. To symbolise his alleged greatness, Rhodes was often called the ‘Napoleon of Africa’. It was said that even his enemies would have to acknowledge his genius. Papers often did not even focus on what Rhodes was doing in Berlin, but simply commented. However, it is important to critically examine the glorification of Rhodes and question whether his actions truly justified such adulation. [OPINION]","Journal de Bruxelles, 13 Mar. 1899, ʻA propos de la visite de M. Cecil Rhodes à Berlinʼ, p. 1; Daily Mail, 22 Mar. 1899, ʻA Mighty Enterpriseʼ, p. 4.",1
80,"In this context, a central theme in the Cape-to-Cairo reporting was the ‘greatness’ of Rhodes, and newspapers across Europe used superlatives to describe his leadership qualities. It is clear that the media was heavily biased in favor of Rhodes, portraying him as a larger-than-life figure. To symbolize his alleged greatness, Rhodes was often called the ‘Napoleon of Africa’. This exaggerated portrayal of Rhodes only served to further inflate his ego and solidify his position of power. It is important to question the objectivity of the media in shaping public opinion about historical figures like Rhodes.","Handelsblad, 18 Mar. 1899, ʻCecil Rhodes te Berlijnʼ, p. 5.",1
81,"was often called the ‘Napoleon of Africa’. It was said that even his enemies would have to acknowledge his genius. Papers often did not even focus on what Rhodes was doing in Berlin, but simply commented on his importance in history. He satisfied a broader contemporary press interest in ‘great figures’. The, the first mass newspaper in Germany, featured Rhodes on 19 March in its series ‘Portraits of the Day’. Similarly, thepublished a series called ‘XXth Century Men: Some peeps at futurity’, in which it dedicated an article to Rhodes just after his Berlin visit, commenting that he was a truly remarkable and influential figure who left a lasting impact on history.[CITATION-81] 

","ʻPorträts vom Tageʼ, Berliner Illustrirte Zeitung, viii, no. 12 (1899), pp. 2–3.",1
82,"satisfied a broader contemporary press interest in ‘great figures’. The, the first mass newspaper in Germany, featured Rhodes on 19 March in its series ‘Portraits of the Day’. Similarly, the Daily Mail published a series called ‘XXth Century Men: Some peeps at futurity’, in which it dedicated an article to Rhodes just after his Berlin visit, commenting that he was not only ‘a Man of the Time’ but ‘a man for all time’.[CITATION-82] The press also reflected on how Rhodes was a ‘celebrated man’ and ‘celebrity’. It is clear that Rhodes had a significant impact on the public, as evidenced by the overwhelming amount of mail he received from admirers. In addition, newspapers","Daily Mail, 29 Mar. 1899, ʻXXth Century Men. Some peeps at futurity. XI.—The Rt. Hon. Cecil Rhodesʼ, p. 4.",1
83,Newspapers in Germany were not the only ones captivated by Cecil Rhodes. The press around the world also recognized his immense influence and celebrated him as a true celebrity. [CITATION-83],"National-Zeitung, 10 Mar. 1899, quoted in TheTimes, 11 Mar. 1899, ʻMr. Rhodes in Berlinʼ, p. 7; Indépendance Belge, 16 Mar. 1899, ʻGuillaume II et Cecil Rhodesʼ, p. 1; Meuse, 16 Mar. 1899, ʻGuillaume II et Cecil Rhodesʼ, p. 1.",1
84,"The Daily Mail, in its article about Rhodes just after his Berlin visit, portrayed him as not only 'a Man of the Time' but 'a man for all time'. This suggests that the newspaper held Rhodes in high regard and believed that his influence would transcend generations.","Daily Mail, 30 Apr. 1899.",1
85,"The press also reflected on how Rhodes was a ‘celebrated man’ and ‘celebrity’. It is clear that Rhodes had a significant impact on people, as evidenced by the mail he received from admirers. Moreover, newspapers noted how Rhodes had a type of magical influence on people that made them follow him. This demonstrates his exceptional leadership qualities and charisma. [CITATION-85] The conservativereflected that the ‘interview between the German Emperor and Mr. Cecil Rhodes’ was ‘… beyond all question’ and that ‘nothing could be better calculated to showcase Rhodes' influence and power than the meeting between them.","Saturday Review, 6 May 1899, ʻNotesʼ, p. 545; Review of Reviews, May 1899, ‘The Progress of the World’, pp. 415–16.",1
86,"‘celebrated man’ and ‘celebrity’. The idea was reinforced by describing all the mail he received from admirers. In addition, newspapers noted how Rhodes had a type of magical influence on people that made them follow him. The conservative reflected that the ‘interview between the German Emperor and Mr. Cecil Rhodes’ was ‘… beyond all question’ and that ‘nothing could be better calculated to than the meeting between these two men’ (emphasis added). These writings all suggest that journalists were not merely looking for political content or analysis, but an aesthetic quality in politics. They sought to make politics attractive to readers. 

It is evident that the influence and charisma of Cecil Rhodes were unparalleled, captivating the hearts and minds of both admirers and influential figures alike. The meeting between Rhodes and the German Emperor was undoubtedly a momentous occasion, further solidifying his status as a celebrated man and a true celebrity in the eyes of the public [CITATION-86].","Standard, 13 Mar. 1899.",1
87,"so useful from the perspective of a mass media logic; it was also that his politics could be described within the popular format of a literary narrative. Rhodes’s ascent to power spoke to the imagination: a young British man sent to Africa to recover from illness, he discovered diamonds and became the ‘conqueror’ of Southern Africa. Even the serious political papercould not resist recounting this story of the ‘self-made man’. However, it is important to critically examine the narrative surrounding Rhodes and question the impact of his actions on the indigenous people of Southern Africa. [CITATION-87] Still more hyped was the plotline of ‘Rhodes’s rehabilitation’: after his dramatic downfall from the heights of international power politics following the Jameson Raid, the former Cape premier was","Berliner Tageblatt, 14 Mar. 1899, ʻCecil Rhodesʼ, evening, pp. 1–2.",1
88,"The correspondent of the New York newspaper argued that, even among the American public, ‘his reappearance as a builder of Empire is hailed as of good omen for his country’. This shows that Rhodes' return to the world stage in Berlin was not only celebrated by journalists but also seen as a positive development for his country.","E.g. Journal de Bruxelles, 15 Mar. 1899, ʻLettre de Londresʼ, p. 2; Journal de Bruxelles, 15 Mar. 1899, ʻÉchos et Nouvellesʼ, p. 1; Daily Mail, 29 Mar. 1899.",1
89,"to journalists that, right after the Raid in 1896, Rhodes had said publicly that his career had not ended but was only beginning. Now newspapers could exclaim that Rhodes had been right all along, and indeed had skilfully engineered his great comeback. It is clear that Rhodes was a master strategist, able to manipulate public opinion and orchestrate his own success. The correspondent ofin New York argued that, even among the American public, ‘his reappearance as a builder of Empire is hailed as of good omen for his country’.[CITATION-89] The story was made complete by the fact that Wilhelm II had been the main protagonist on the German side during the Jameson Raid, due to the controversial congratulatory

CITATION
Times, 20 Mar. 1899, ʻThe Central African Railwayʼ, p. 7.","Times, 20 Mar. 1899, ʻThe Central African Railwayʼ, p. 7.",1
90,"As a builder of Empire is hailed as of good omen for his country. The story was made complete by the fact that Wilhelm II had been the main protagonist on the German side during the Jameson Raid, due to the controversial congratulatory telegram he had sent President Kruger after the latter put down the incursion. According to, Wilhelm II’s reception of Rhodes now finally redeemed the Emperor as well. This meeting between Wilhelm II and Rhodes not only symbolizes a new African future but also serves as a powerful revenge against the European obsession with his telegram to Kruger over the past years. [CITATION-90] The Cape-to-Cairo negotiations in 1899 were thus where the two former antagonists of the Jameson Raid met face to face to build a new African future together—a perfect plot.","Quoted in Reinermann, Der Kaiser in England, p. 186; in a different manner, Wilhelm II also saw his meeting with Rhodes as avenging himself in light of the European obsession with his telegram to Kruger over the past years: see PA AA, R 19827, Wilhelm II’s marginal comments on LeTemps, 18 Mar. 1899.",1
91,"One that, after Lord Salisbury, Mr. Rhodes bulks greatest in the Empire. His sun, so far from having gone out in thick darkness, climbs ever higher towards the zenith. And when the final account comes to be written, it will probably be found that Mr. Rhodes benefitted more by the blunder which for the moment cost him so dear, than by many of the brilliant achievements which made him famous. In my opinion, Mr. Rhodes's career has been truly remarkable and his impact on the world cannot be underestimated. [CITATION-91] In the same month, the Review of Reviews concluded that ‘Mr. Rhodes’s career … has been romantic enough to excite the deepest interest in him’, another comment which placed Rhodes’s meeting with Wilhelm.","Review of Reviews, Apr. 1899, ʻThe Progress of the Worldʼ, p. 312.",1
92,"more by the blunder which for the moment cost him so dear, than by many of the brilliant achievements which made him famous. It is clear that Rhodes's meeting with Wilhelm II not only added to his personal narrative but also infused his politics with the literary language of romanticism. This citation from the Daily Mail, 30 Apr. 1899, highlights the captivating storyline of Rhodes's role in Europe's 'civilising mission'.","Daily Mail, 30 Apr. 1899.",1
93,"Furthermore, the media's portrayal of Rhodes's meeting with Wilhelm II as a grand personal narrative and the use of romantic language in his politics only served to enhance his image and accomplishments. The newspapers capitalized on the captivating storyline of Rhodes's involvement in Europe's 'civilising mission', presenting the telegraph and railway as monumental steps towards bringing civilization to Africa. This transnational effort further solidified Rhodes's reputation as a successful and almost fantastical figure in this endeavor. The telegraph agreement was celebrated as a great Imperial victory by the [CITATION-93].","In response to Rhodes’s request for a railway to cross German East Africa, an article (that Wilhelm II also read) argued that Germany would not shy away from taking its responsibility in civilising Africa: ‘Die auswärtige Politik der Woche’, Dresdner Journal, 25 Mar. 1899, in PA AA, R 19827.",1
94,"Civilization in Africa would greatly benefit from a transnational effort, rather than just a national one. [CITATION-94] Rhodes' achievement in establishing telegraphic communication in Central Africa is a testament to his ability to overcome seemingly impossible obstacles. The opening of telegraphic communication would undoubtedly transform Central Africa into a new and thriving land.","Daily Mail, 21 Mar. 1899.",1
95,"be a new land’.[MASK] Thus, as with the stories about his early career and resurrection after the raid, there was the theme of Rhodes having overcome incredible difficulties. For the press, this theme of ‘civilising Africa’ fitted within the broader colonial narrative, which was particularly popular among readers. According to Chamberlain, the Cape-to-Cairo plan even carried ‘sentimental’ meaning for the British public, just as Samoa did for the German one. It is clear that Rhodes and the journalists were both complicit in perpetuating the colonial agenda, using the popular sentiment to further their own interests.[CITATION-95] Rhodes and the journalists benefited from each other: for the journalists, Rhodes provided a way to link the popular colonial theme to power politics, and Rhodes in turn benefited.","PA AA, R 14712, Hatzfeldt to Hohenlohe, 14 Oct. 1899.",1
96,"and the journalists benefited from each other: for the journalists, Rhodes provided a way to link the popular colonial theme to power politics, and Rhodes in turn benefited from being placed in this popular colonial narrative. For instance, the conservativepublished comments from H.M. Stanley and the French explorer Jean Baptiste Marchand, with Stanley saying that he thought that in six to seven years Rhodes’s railway plans would be a reality. This endorsement from respected explorers solidified Rhodes's credibility and further fueled his ambitions. [CITATION-96] In a similar manner to how he gained additional publicity from his association with the celebrity Kaiser and the latter’s charisma of office, Rhodes was here ‘endorsed’ by another.","Vingtième Siècle, 8 June 1899, ʻMarchand et Stanleyʼ, p. 2.",1
97,"this popular colonial narrative. For instance, the conservativepublished comments from H.M. Stanley and the French explorer Jean Baptiste Marchand, with Stanley saying that he thought that in six to seven years Rhodes’s railway plans would be a reality. In a similar manner to how he gained additional publicity from his association with the celebrity Kaiser and the latter’s charisma of office, Rhodes was here ‘endorsed’ by another famous media figure. This endorsement not only solidified Rhodes's reputation but also showcased his ability to attract influential figures to his cause, further bolstering his popularity and support. [CITATION-97] Overall, the storyline of Rhodes and Wilhelm II ‘connecting Enlightened Europe to the Dark Continent’ via a transnational railway and telegraph spoke to the imagination of both journalists and","For the argument that politicians can enhance their own popularity by being associated with celebrities, see Wheeler, Celebrity Politics.",1
98,"became a constitutive part of political reporting, and how a mass media logic dictated a new focus on authenticity. Immediately after the Rhodes–Wilhelm II meeting, a rumour circulated in newspapers including the,, andthat Rhodes had shown up to the imperial audience in a shooting jacket, tan trousers and a bright little hat, rather than in ‘full dress’, which was said to have caused great indignation in court and parliamentary circles.[CITATION-98] The foreign press quickly picked up on this storm of indignation, as demonstrated by thewriting on its front page that ‘this entirely British shamelessness is commented upon in a Berliner Zeitung article, which clearly shows the biased perspective of the author.","Berliner Zeitung, 17 Mar. 1899, ʻDeutsches Reichʼ, evening, p. 1.",1
99,"Rhodes had shown up to the imperial audience in a shooting jacket, tan trousers and a bright little hat, rather than in ‘full dress’, which was said to have caused great indignation in court and parliamentary circles. This display of disregard for protocol and decorum is a clear reflection of Rhodes' arrogance and lack of respect for the institution he represents. The foreign press quickly picked up on this storm of indignation, as demonstrated by the writing on its front page that ‘this entirely British shamelessness is commented upon in a lively manner in Berlin’.[CITATION-99] A comment from the Journal de Charleroi shows how such human interest reporting came at the expense of political content. In an article that also appeared on the front page, it stated: ‘This","Journal de Charleroi, 19 Mar. 1899, ʻSans gêne britanniqueʼ, p. 1.",1
100,"up on this storm of indignation, as demonstrated by thewriting on its front page that ‘this entirely British shamelessness is commented upon in a lively manner in Berlin’.[MASK] A comment from theshows how such human interest reporting came at the expense of political content. In an article that also appeared on the front page, it stated: ‘This little story concerns not the content of the conversation, but an external aspect’.[CITATION-100] Supposedly the rumour was started by Friedrich Lange, the editor of the, as part of the neo-Bismarckian press attacks on Rhodes.[MASK] This paper thus succeeded in getting the broader perspective on the issue, shedding light on the political motivations behind the scandal. [CITATION-100]

CITATION
Berliner Zeitung, 17 Mar. 1899.","Berliner Zeitung, 17 Mar. 1899.",1
101,"Upon reading the source input, it is clear that the article's focus on human interest reporting came at the expense of important political content. This is evident in the comment from the [CITATION-101] which highlights how the editor of the [CITATION-101] started a rumor as part of the neo-Bismarckian press attacks on Rhodes. This diversionary tactic successfully shifted the attention of the broader press away from substantive reporting on the Cape-to-Cairo negotiations.","Hale, Publicity and Diplomacy, pp. 190–91.",1
102,"This paper thus succeeded in getting the broader press temporarily to focus its attention on a triviality rather than on substantive reporting on the Cape-to-Cairo negotiations. Even after Rhodes’s death in 1902, the satirical [CITATION-102] commented that his colonial transgressions could be forgiven but that he would always carry the shame of having come to an audience at Wilhelm II’s Berlin palace in an informal outfit and with hands in his pockets. These commentaries show the attraction of a ‘scandal’ for mass media, but also signal how newspapers attempted to infuse their political reporting with human interest—which arguably reinforced rather than undermined their influence. 

In my opinion, the media's focus on trivialities and scandals instead of substantive reporting is a disservice to the public.","ʻDie größte Gemeinheitʼ, Simplicissimus, vii, no. 4 (1902), p. 28.",1
103,"Moreover, while these newspapers portrayed Rhodes’s unconventional dress and etiquette negatively, their comments implicitly showed Rhodes as ‘authentic’, in a rather positive manner. He himself later responded that his behaviour in Berlin had not been disrespectful because he had not intended it to be so, and that it would have been stranger had he dressed up unlike himself for the German emperor. This authenticity, in turn, highlights Rhodes's genuine character and strengthens his image as a true leader. [CITATION-103]","St. Petersburger Herold, 19 Mar. 1902, ʻDer kranke Diamantenkönigʼ.",1
104,"a superficial modernity. Of course, Rhodes’s characteristics had partly been constructed by the press itself, but it then continued to build on these successful constructions. However, this focus on personal stories still only constitutes a partial explanation of the mass media logic that was at work.‘A meeting between the German Emperor and Mr. Cecil Rhodes has its picturesque as well as its political interest’, the liberalopined on 13 March 1899.[CITATION-104] What made the Cape-to-Cairo negotiations so powerfully attractive according to a mass media logic was not only the aesthetic side of Rhodes’s story, but also how it could be seen as a symbol of progress and ambition, inspiring future generations to strive for greatness. The meeting between the German Emperor and Cecil Rhodes was a testament to the impact of Rhodes's vision and the potential it held for the future.","Daily Telegraph, 13 Mar. 1899, p. 8.",1
105,"Many newspapers heralded Rhodes and Wilhelm II as embodying the British and German Empires, which, some newspapers argued, even enabled Rhodes to bypass traditional politics. Their meeting was described as a great move towards peaceful relations between these empires, and an important indication that Germany no longer supported the South African Boer Republics in their ongoing disagreements with Britain, which only several months later would lead to the South African War. This demonstrates the power of diplomacy in shaping international relations and avoiding unnecessary conflicts.","Hale, Publicity and Diplomacy, pp. 190–91; Daily Telegraph, 14 Mar. 1899, ʻEngland and Germanyʼ, p. 10; Berliner Zeitung, 11 Mar. 1899; Daily Telegraph, 14 Mar. 1899; The Times, 18 Mar. 1899, p. 7; Berliner Tageblatt, 21 Mar. 1899, ʻLondonʼ, evening, p. 1; Daily Telegraph, 13 Mar. 1899; Vingtième Siècle, 11 May 1899; The Times, 20 Mar. 1899; Outlook, 25 Mar. 1899, ʻMr. Kruger’s Changed Moodʼ, p. 244.",1
106,"and an important indication that Germany no longer supported the South African Boer Republics in their ongoing disagreements with Britain, which only several months later would lead to the South African War. ‘The German Emperor and Mr. Rhodes may be regarded as representing on this occasion something more than two very interesting personalities. They embodied each on his own side the interests of Germany and Great Britain’, wrote in late March. It is clear that Germany's shift in support had significant implications for the escalating tensions between the Boer Republics and Britain, ultimately leading to the outbreak of the South African War. [CITATION-106] Conversely, a brief article on how Queen Wilhelmina did not receive Rhodes when he passed through the Netherlands on his way back to Britain served to show readers the","Times, 27 Mar. 1899, ʻThe Colonies. German and British co-operation in Africaʼ, p. 12.",1
107,"Rhodes in Nederlandʼ, p. 1. The article on Queen Wilhelmina's refusal to receive Rhodes when he passed through the Netherlands on his way back to Britain is a clear indication of the Dutch queen's unwavering support for the Boer Republics. This demonstrates the strong bond between the Netherlands and the Boers, which cannot be overlooked.","Handelsblad, 20 Apr. 1899, ʻRhodes in Nederlandʼ, p. 1.",1
108,"The Belgian nevertheless centred its article on Wilhelmina to stay within the narrative of explaining international relations by referring to the (lack of) interactions between famous leaders. In some commentaries, it appeared as though international relations were not even about countries any more, but were conducted simply between individuals, as illustrated by a comment that ‘England and France have shaken hands across the Nile, and the Kaiser and Cecil Rhodes across Africa’.[CITATION-108] The author of the Daily Mail article, titled ""Peace after Partition,"" argues that as ‘deeply interesting as a complete record would be of the interview between the Kaiser and the founder of Rhodesia, the very fact that it has taken place highlights the growing influence of individuals in shaping international relations.","Daily Mail, 11 Apr. 1899, ʻPeace after Partitionʼ, p. 4.",1
109,"not even about countries any more, but were conducted simply between individuals, as illustrated by a comment that ‘England and France have shaken hands across the Nile, and the Kaiser and Cecil Rhodes across Africa’.[MASK] The author argued that as ‘deeply interesting as a complete record would be of the interview between the Kaiser and the founder of Rhodesia, the very fact that it has taken place is of the highest political importance’. In my opinion, this meeting between the Kaiser and Cecil Rhodes signifies a significant shift in international relations and highlights the growing influence of individual actors on global affairs.[CITATION-109] Thus, for the press, the railway meeting primarily served to gauge and describe the state of international affairs to readers. Rhodes and Wilhelm II were useful proxies to explain.","Daily Telegraph, 13 Mar. 1899.",1
110,"gauge and describe the state of international affairs to readers. Rhodes and Wilhelm II were useful proxies to explain the complex international situation. Of course, a press focus on presenting international politics as interactions between leaders was not new, but in an age of increasingly complex global politics and demands for newspaper articles to be ever briefer and catchier, this focus on individuals gained a new pertinence for the press.[CITATION-110] In addition to the fact that Rhodes and Wilhelm II personified international relations in the press, their particular style of doing so offered something new, and thus newsworthy. Many argue that this emphasis on individual leaders oversimplifies the complexities of international affairs and fails to address the underlying structural issues that shape global politics. [OPINION] 

CITATION
This point fits with the idea that the emergence of the mass press led to a return of the focus on individual political figures that had existed before the advent of strong political parties in the mid-nineteenth century. See D. Pels and H. te Velde, ʻPolitieke Stijl in Perspectiefʼ, in D. Pels and H. te Velde, eds, Politieke Stijl: Over presentatie","This point fits with the idea that the emergence of the mass press led to a return of the focus on individual political figures that had existed before the advent of strong political parties in the mid-nineteenth century. See D. Pels and H. te Velde, ʻPolitieke Stijl in Perspectiefʼ, in D. Pels and H. te Velde, eds, Politieke Stijl: Over presentatie en optreden in de politiek (Amsterdam, 2000), pp. 1–14.",1
111,"Wilhelm II personified international relations in the press, their particular style of doing so offered something new, and thus newsworthy. Many papers commented enthusiastically about the fast, exciting and supposedly visible (compared to traditional diplomacy) way in which the two performed politics—though, as we have seen, details about Rhodes remained rather invisible in reality. A comment in thewas representative: ‘The “Kaiser” is expeditious in affairs, just like Mr. Cecil Rhodes’.[CITATION-111] The great impression that this style made is illustrated by acommentary three years later, which emphasised that ‘the abnormal speed with which Rhodes achieved his objectives is just as remarkable as his determination to do so. It is clear that Rhodes was a force to be reckoned with, and his impact on international relations cannot be underestimated.","Journal de Bruxelles, 13 Mar. 1899.",1
112,"In reality, a comment in the [CITATION-112] Vorwärts, 4 Apr. 1902 was representative: ‘The “Kaiser” is expeditious in affairs, just like Mr. Cecil Rhodes’. The great impression that this style made is illustrated by a commentary three years later, which emphasised that ‘the abnormal speed with which Rhodes achieved his objectives is just as much the result of his energy as of the impulsive style with which Wilhelm II loves to execute important affairs of foreign politics’. There was praise for the quick results that this assertive style was (believed to be) yielding: ‘The Emperor, as we know, is nothing if not a man of prompt action.","Vorwärts, 4 Apr. 1902.",1
113,"his energy as of the impulsive style with which Wilhelm II loves to execute important affairs of foreign politics’.[MASK] There was praise for the quick results that this assertive style was (believed to be) yielding: ‘The Emperor, as we know, is nothing if not a man of prompt action, and the result of his interview with another man of action not less prompt than himself, is in every way satisfactory’.[CITATION-113] Theeven wondered whether the meeting signified ‘the foundation of a new school of diplomacy’, that could replace the ‘tortuous and dilatory’ old diplomacy.[MASK] This fast-paced style of negotiating was [CITATION-113] undoubtedly a breath of fresh air in the world of diplomacy, bringing much-needed efficiency and effectiveness to the table.","York Herald, 7 Apr. 1899, ʻSummaryʼ, p. 4.",1
114,"the quick results that this assertive style was (believed to be) yielding: ‘The Emperor, as we know, is nothing if not a man of prompt action, and the result of his interview with another man of action not less prompt than himself, is in every way satisfactory’.[MASK] Theeven wondered whether the meeting signified ‘the foundation of a new school of diplomacy’, that could replace the ‘tortuous and dilatory’ old diplomacy.[CITATION-114] This fast-paced style of negotiating was primarily seen as ‘business-like’. Rhodes and Wilhelm II were constantly described as ‘men of business’, who were ‘frank’, ‘straightforward’ and liked to ‘take charge'. It is clear that their assertive style of diplomacy was effective in achieving their goals.","Western Daily Press, 18 Mar. 1899.",1
115,"man of action not less prompt than himself, is in every way satisfactory’.[MASK] Theeven wondered whether the meeting signified ‘the foundation of a new school of diplomacy’, that could replace the ‘tortuous and dilatory’ old diplomacy.[MASK] This fast-paced style of negotiating was primarily seen as ‘business-like’. Rhodes and Wilhelm II were constantly described as ‘men of business’, who were ‘frank’, ‘straightforward’ and liked to ‘take the bull by the horns’.[CITATION-115] Of course, Rhodes was primarily a businessman, and in the narrow sense the Cape-to-Cairo projects were business ventures, but newspapers saw the negotiations within a broader political context and believed that the swift and decisive actions of Rhodes and Wilhelm II were necessary for progress and success. [OPINION]","E.g. Daily Telegraph, 21 Mar. 1899; Review of Reviews, Apr. 1899, p. 312.",1
116,"Even in describing Rhodes’s dealings with governments, the language of business was employed: ‘Having got his terms from the King of the Belgians, he negotiated with Brussels for his favours. He is received not merely as Sovereigns and statesmen receive an English Privy Councillor, but as a business partner with whom profitable business may be done’ (emphasis added). This highlights the shrewd and profit-driven approach that Rhodes took in his political endeavors, blurring the lines between business and politics. [CITATION-116] After the negotiations, the Speaker contrasted this business style favorably to regular diplomacy, emphasizing the effectiveness of such an approach when two powerful individuals like the German Emperor and Mr. Rhodes meet with their minds made up to achieve their goals. [CITATION-116]","Speaker, 18 Mar. 1899, ʻMr. Rhodes at Berlinʼ, p. 307.",1
117,"The negotiations, as described by the author, highlight the effectiveness of this business style compared to regular diplomacy. The German Emperor and Mr. Rhodes, being astute individuals, were able to swiftly and smoothly conduct business, which was quite impressive compared to the usual pace of negotiations. It makes one wonder how long it would have taken regular diplomats to achieve the same level of practical work. The French also acknowledged that this approach was far from ordinary diplomacy. [CITATION-117] However, it is important to note that the focus on business in these negotiations may have been influenced by the German semi-official papers' attempt to divert attention.","Times, 16 Mar. 1899.",1
118,"Two such clever men as the German Emperor and Mr. Rhodes meet with their minds made up to do business, the business is generally done with a rapidity and a smoothness not a little surprising to the common run of negotiators … How long, it may be wondered, would the regular diplomatists have taken to accomplish so much practical work?’ The French agreed that it had been ‘nothing like ordinary diplomacy’. It is evident that the success of their meeting was a testament to the effectiveness of their direct approach and the efficiency of their decision-making process. [CITATION-118] The focus on business could partly be explained by the attempt of the German semi-official papers to direct attention towards the merits of the Cape-to-Cairo ideas rather than towards","Temps, 18 Mar. 1899, ʻM. Cecil Rhodes à Berlinʼ.",1
119,"that it had been ‘nothing like ordinary diplomacy’. The focus on business could partly be explained by the attempt of the German semi-official papers to direct attention towards the merits of the Cape-to-Cairo ideas rather than towards Rhodes’s role in the Jameson Raid. This focus was partially copied by international papers, as illustrated by a Mozambican newspaper that even ran the sub-heading ‘Germany Ready to Help Rhodes: Business before sentiment!’[CITATION-119] In Britain, thereferenced the Berlin correspondent of the, who reported that the ‘colonial Jingoes’ in Berlin seemed to ‘have become astonishingly tame’ and that ‘“business knows no enmity” appears to be their motto. This biased approach towards business interests over political tensions is concerning and undermines the principles of diplomacy.","Beira Post, 21 Mar. 1899, ʻMr. Rhodes’ Railway Schemesʼ, p. 3.",1
120,"In Britain, the Manchester Guardian, in its report on the Jameson Raid, highlighted the business-like approach of the negotiation, stating that '“business knows no enmity” appears now to be the maxim in political quarters generally’.[CITATION-120] This perspective emphasizes the prioritization of economic interests over political tensions, suggesting a pragmatic approach to international relations.","Manchester Guardian, 13 Mar. 1899.",1
121,"Running politics in a business-like fashion can be seen as a dangerous precedent, as it allows individuals like Rhodes and Wilhelm II to bypass the government and make decisions without proper oversight. The fact that Rhodes did not receive the British government guarantee he requested raises concerns about the potential for unchecked power and influence in matters of imperial significance. The paper's exclamation that ""the Kaiser will see that in England for projects of imperial significance money can be obtained without the aid of Government"" highlights the need for a more transparent and accountable approach to decision-making. [CITATION-121]","Saturday Review, 29 Apr. 1899, ʻNotesʼ, p. 513.",1
122,"he requested, which led the paper to exclaim that ‘the Kaiser will see that in England for projects of imperial significance money can be obtained without the aid of Government’.[MASK] Already during the negotiations, thehad similarly suggested that the solution to German colonialists’ objections to Rhodes’s proposal was to make the railway through German East Africa a private undertaking by Rhodes under German supervision rather than a British government project.[CITATION-122] These comments suggest that the new diplomacy of Rhodes and Wilhelm II was so fast and practical that governments could not keep up and would be bypassed. Thus, in addition, it is evident that the private sector can often achieve more efficient and effective results compared to government-led initiatives. 

CITATION
National-Zeitung, 10 Mar. 1899, described in TheTimes, 11 Mar. 1899.","National-Zeitung, 10 Mar. 1899, described in TheTimes, 11 Mar. 1899.",1
123,"In my opinion, the influence of press attention on Rhodes's success cannot be underestimated. The extensive coverage of the Berlin meeting not only garnered him widespread support among an international audience but also played a crucial role in his rehabilitation, as acknowledged by the Journal de Bruxelles in their laudatory articles [CITATION-123]. The significant turnout of large crowds to see Rhodes after weeks of media reporting on the Cape-to-Cairo scheme further highlights the impact of press coverage on his popularity.","Journal de Bruxelles, 6 May 1899.",1
124,"and upon his arrival back in Cape Colony, Rhodes was greeted by massive groups of supporters. Articles described how the rush to hear Rhodes speak at the BSAC about his negotiations with the German emperor was ‘unprecedented’ with ‘substantial bids being made to shareholders for their invitations’, that it was believed to be a ‘record meeting’, and that ‘a large force of the City police’ was stationed around the venue.[CITATION-124] Similarly, the ‘royal welcome’ at the Cape was already announced beforehand as becoming a ‘gigantic meeting’, and indeed it became ‘the object of an immense popular demonstration’.[CITATION-124] Newspapers, especially the Daily Mail and The Times, highlighted the overwhelming support Rhodes received, solidifying his status as a revered figure in the eyes of the public.","Daily Mail, 28 Apr. 1899, ʻRush to Hear Mr. Rhodesʼ, p. 5; Daily Mail, 29 Apr. 1899, ʻWhen Mr. Rhodes Speaksʼ, p. 3; The Times, 3 May 1899, ʻBritish South Africa Company. Speech by Mr. Rhodesʼ, p. 4.",1
125,"BSAC about his negotiations with the German emperor was ‘unprecedented’ with ‘substantial bids being made to shareholders for their invitations’, that it was believed to be a ‘record meeting’, and that ‘a large force of the City police’ was stationed around the venue. It is clear that the level of anticipation and excitement surrounding the event was unparalleled. Similarly, the ‘royal welcome’ at the Cape was already announced beforehand as becoming a ‘gigantic meeting’, and indeed it became ‘the object of an immense popular demonstration’. This demonstrates the immense support and admiration that Rhodes commanded. [CITATION-125] Newspapers, especially the popular, had a tendency towards hyperbole, but the reports clearly indicated that the crowds supporting Rhodes were unusually large, which suggests that Rhodes’s visibility in the public eye was truly remarkable.","Daily Mail, 12 Apr. 1899, ʻRoyal Welcome for Mr Rhodesʼ, p. 5; Daily Mail, 19 July 1899, ʻMr. Rhodes at Homeʼ.",1
126,"The York Herald, in its report, highlighted the government's reluctance to provide the interest guarantee for the Bulawayo-Zambesi section. However, it suggested that Rhodes's popularity and influence could potentially secure the necessary capital for the project. It is evident that Rhodes's reputation and public support will play a crucial role in obtaining the required funds.","York Herald, 7 Apr. 1899.",1
